,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
Danube,1.0,0.3858173875671155,0.19661784857716183,0.27367690249123594,0.24030078655025025,0.2566665421883257,-0.02251601490280354,0.285530039137611,-0.20373356327210862,0.17258983120937144,-0.11998601133021997
Mississippi / Missouri,0.3858173875671155,1.0,0.7065889273172167,0.5518043394117492,0.5677981450620639,0.18030122677996743,-0.5764481624169259,0.24642899746285235,0.3327910703566165,0.548822971006533,-0.14554276315417453
Colorado,0.19661784857716183,0.7065889273172167,1.0,0.7051442469193682,0.3836340148491434,0.024641345736706243,-0.5322888963528855,0.06993554933637258,0.36548391156012944,0.36931364235629277,-0.11219422053528114
California,0.27367690249123594,0.5518043394117492,0.7051442469193682,1.0,0.38559756921097715,-0.003205571479985327,-0.45818051629500384,0.08119076172806025,0.25161265857508097,0.30602750004037854,-0.031001272385113243
Yangtze Basin,0.24030078655025025,0.5677981450620639,0.3836340148491434,0.38559756921097715,1.0,0.18302175441063998,-0.5931053080901557,0.11092419281459144,0.24158221904913663,0.6079349924970546,-0.09476790560056965
Mekong Basin,0.2566665421883257,0.18030122677996743,0.024641345736706243,-0.003205571479985327,0.18302175441063998,1.0,0.15062884458775955,0.22191301841001443,-0.2655613463709099,0.09568366767584163,-0.08658495511257103
Nile,-0.02251601490280354,-0.5764481624169259,-0.5322888963528855,-0.45818051629500384,-0.5931053080901557,0.15062884458775955,1.0,0.06675891383362012,-0.7122504525750465,-0.7000510128312628,-0.036759832346445524
Ganges / Bhramaputra Basin,0.285530039137611,0.24642899746285235,0.06993554933637258,0.08119076172806025,0.11092419281459144,0.22191301841001443,0.06675891383362012,1.0,-0.2114481574918148,-0.012730951433650555,-0.0717078785017292
Congo,-0.20373356327210862,0.3327910703566165,0.36548391156012944,0.25161265857508097,0.24158221904913663,-0.2655613463709099,-0.7122504525750465,-0.2114481574918148,1.0,0.4049923927679946,0.13119667131551974
Amazon Basin,0.17258983120937144,0.548822971006533,0.36931364235629277,0.30602750004037854,0.6079349924970546,0.09568366767584163,-0.7000510128312628,-0.012730951433650555,0.4049923927679946,1.0,0.03736102457866067
Murray,-0.11998601133021997,-0.14554276315417453,-0.11219422053528114,-0.031001272385113243,-0.09476790560056965,-0.08658495511257103,-0.036759832346445524,-0.0717078785017292,0.13119667131551974,0.03736102457866067,1.0
