time,Upper Colorado Region,Great Basin Region,California Region,Lower Colorado Region,Pacific Northwest Region
1998-01-01,23.345562,41.683617,179.57027,12.368037,144.34021
1998-02-01,34.984295,70.08549,280.20056,79.30426,80.87847
1998-03-01,38.889847,43.96215,98.382545,46.451523,77.70031
1998-04-01,27.107813,31.869259,55.101215,15.490321,41.030155
1998-05-01,15.516983,59.78153,86.446075,5.590306,105.59086
1998-06-01,37.983307,51.100647,21.61992,4.9243073,56.81359
1998-07-01,44.137585,24.726032,5.954678,67.052666,29.963348
1998-08-01,24.02813,11.197691,3.9258304,43.97146,9.270049
1998-09-01,30.137144,47.751877,16.160812,36.732143,31.041883
1998-10-01,61.01239,33.474617,19.973372,30.4099,47.176792
1998-11-01,26.466843,23.321003,112.4643,20.563278,160.47458
1998-12-01,14.147946,14.405795,47.262745,9.806067,148.40463
1999-01-01,21.74445,38.105152,89.508934,4.698438,124.47661
1999-02-01,20.167707,26.103617,123.430046,7.2025905,153.90686
1999-03-01,9.523786,12.447049,60.991272,4.7063246,67.93795
1999-04-01,67.841125,47.25891,47.090855,31.70515,32.34662
1999-05-01,34.730564,23.981068,8.279886,3.9931526,48.736248
1999-06-01,22.338877,27.285934,6.9049397,11.35418,45.02062
1999-07-01,48.44166,15.567273,8.786764,89.21028,19.447435
1999-08-01,57.3977,20.66028,7.4538894,65.24832,35.792557
1999-09-01,29.317354,8.700666,4.2756276,42.00075,11.106288
1999-10-01,4.7150884,4.1444016,19.104702,1.1888586,59.267925
1999-11-01,4.976304,6.5979843,57.303806,0.845406,119.26918
1999-12-01,15.3931465,8.361107,22.317324,2.382198,102.60721
2000-01-01,30.548367,42.759907,132.48103,7.004103,118.82848
2000-02-01,29.967,58.486668,168.71144,18.444756,89.62168
2000-03-01,42.053066,23.543783,46.092358,39.717163,65.50704
2000-04-01,16.507627,17.632835,46.39029,2.892662,45.83117
2000-05-01,21.07992,27.555115,22.577873,1.1675297,58.300148
2000-06-01,14.230853,8.483867,7.9729557,27.842371,37.206787
2000-07-01,16.12057,3.376941,2.4552336,17.793808,17.371885
2000-08-01,34.459,27.570883,6.726289,64.744316,10.384787
2000-09-01,29.01539,12.978796,9.589312,6.4196386,43.258938
2000-10-01,47.471687,46.525288,57.93745,99.15704,69.7322
2000-11-01,21.178663,11.81068,24.072227,20.687643,47.145008
2000-12-01,17.297514,13.381809,25.23877,4.0494323,65.45823
2001-01-01,24.679985,26.2648,87.873665,41.438347,49.59531
2001-02-01,29.329103,27.155123,108.041466,25.282806,38.947876
2001-03-01,26.234287,26.197302,54.327393,23.662642,57.934307
2001-04-01,29.854998,32.54962,45.332634,24.676174,61.05504
2001-05-01,24.609533,5.676822,4.3410044,8.5494585,34.720512
2001-06-01,10.845767,5.8846836,7.4050207,7.7271214,51.953426
2001-07-01,30.167835,20.824114,7.761965,44.43012,27.117327
2001-08-01,45.314774,12.992791,2.0762053,54.588203,19.515522
2001-09-01,13.41814,7.252665,8.078543,14.613521,21.0739
2001-10-01,14.292259,9.6412325,17.958748,11.062677,72.33631
2001-11-01,26.577015,37.893883,109.823814,8.046621,109.15378
2001-12-01,21.944588,38.271484,134.33484,20.30129,127.645164
2002-01-01,10.944748,18.219059,61.218517,5.8611293,118.71861
2002-02-01,6.76778,13.190758,37.322906,5.078125,64.948654
2002-03-01,19.073898,18.52135,48.69619,5.872241,73.37783
2002-04-01,15.131326,26.619904,24.15498,4.469342,55.4731
2002-05-01,7.264239,10.574839,14.557534,0.49253485,45.4231
2002-06-01,4.408467,6.71634,2.5413768,0.8984824,42.076946
2002-07-01,21.14452,10.528879,2.4450257,38.180588,15.062079
2002-08-01,20.718645,2.8121622,0.9494953,29.861807,15.308959
2002-09-01,60.466087,22.323166,3.1162755,46.404705,27.63216
2002-10-01,35.641792,16.654716,3.5392714,16.917355,16.503565
2002-11-01,22.820133,26.574125,80.75061,15.361099,63.218147
2002-12-01,18.189972,25.698095,202.17406,23.764627,130.63815
2003-01-01,9.626658,14.359067,54.942047,6.927033,124.582855
2003-02-01,40.88543,27.630682,63.97604,58.357155,51.847996
2003-03-01,33.128235,23.07554,68.68813,25.92619,115.728455
2003-04-01,17.58527,39.811775,100.05475,8.866009,80.635925
2003-05-01,24.553219,24.752377,26.540186,2.9639916,43.826614
2003-06-01,20.625452,8.022724,1.2537652,2.8975189,19.80078
2003-07-01,12.877637,11.372105,5.9767666,37.21793,7.931614
2003-08-01,35.256634,29.450594,15.60325,50.06165,15.302762
2003-09-01,32.79185,8.272278,5.446154,30.10835,29.669628
2003-10-01,15.060637,4.8118663,3.9592984,12.146862,75.50158
2003-11-01,36.74619,26.314896,60.77425,25.941336,92.96307
2003-12-01,28.284676,50.137604,148.9235,15.532592,117.890915
2004-01-01,20.817863,18.403088,61.357746,17.687523,114.95608
2004-02-01,36.669533,44.362312,143.36147,30.31582,65.767456
2004-03-01,8.609143,9.6914215,26.311428,18.71489,48.40843
2004-04-01,53.812923,29.61677,20.437086,36.829277,36.2937
2004-05-01,11.8520775,18.349245,12.123051,0.9515528,74.29298
2004-06-01,24.135101,14.033953,3.111579,4.1772494,40.47607
2004-07-01,24.175125,16.466072,2.0810583,34.69252,19.242786
2004-08-01,22.622038,20.465097,6.2863483,40.78432,62.70991
2004-09-01,54.95544,15.293627,4.5044537,37.943707,53.539276
2004-10-01,48.556973,69.10528,100.08675,53.026356,75.2277
2004-11-01,39.613213,32.918087,42.699112,43.518288,58.78361
2004-12-01,22.87727,31.343382,138.72287,42.625053,93.05348
2005-01-01,62.961613,63.84786,142.29579,75.69891,77.188416
2005-02-01,43.393322,35.74297,95.77587,83.520004,24.846518
2005-03-01,29.815336,39.04683,93.83588,22.787622,77.658226
2005-04-01,33.383984,42.679867,48.584297,19.42439,65.32832
2005-05-01,29.685163,57.432613,66.8427,7.291774,90.8618
2005-06-01,35.043854,22.076588,19.48907,7.889993,70.518394
2005-07-01,14.269344,8.416296,4.8960757,32.17249,20.669813
2005-08-01,41.30297,17.129116,7.3079677,63.299507,15.635247
2005-09-01,39.700027,12.06898,7.923563,14.458107,37.58741
2005-10-01,40.76033,25.341766,26.260725,23.402576,76.51059
2005-11-01,16.516829,18.57652,64.61311,2.9048035,99.44182
2005-12-01,19.593138,49.965878,197.3896,3.0795972,135.63905
2006-01-01,23.952314,46.557404,123.16329,5.4924445,189.1717
2006-02-01,10.108184,20.268904,66.46331,2.7331672,60.55671
2006-03-01,43.870403,51.38812,141.70557,36.54938,70.75773
2006-04-01,18.083279,46.72463,108.90899,7.379003,66.73848
2006-05-01,9.856294,13.340466,19.090647,1.4960656,49.817783
2006-06-01,10.603958,10.316526,5.654737,10.503397,52.953575
2006-07-01,41.12331,19.82263,4.4618244,68.63153,13.886139
2006-08-01,42.031372,8.051892,2.8379436,63.559578,11.988155
2006-09-01,44.15025,15.204674,2.7716599,37.322575,28.89625
2006-10-01,81.21935,30.237282,11.687293,32.33022,39.810925
2006-11-01,16.251667,17.495686,61.440002,2.290436,192.74738
2006-12-01,20.68525,20.937378,87.21317,11.439246,114.68578
2007-01-01,18.516386,11.1625,23.322376,19.036077,78.95643
2007-02-01,22.660625,29.410814,109.27633,13.236831,87.04948
2007-03-01,22.506489,18.058489,19.270203,18.147972,74.42433
2007-04-01,23.724615,23.458342,35.46154,8.625951,47.028774
2007-05-01,28.879976,8.8281975,8.551482,7.5930657,32.830864
2007-06-01,8.292032,10.239484,4.571984,4.504727,40.474293
2007-07-01,31.542236,12.689922,7.3225265,66.923615,18.533901
2007-08-01,42.70711,15.621116,4.105387,49.768784,17.854164
2007-09-01,45.880898,22.161263,13.829799,28.72646,35.97527
2007-10-01,24.786512,17.485058,41.35693,4.417937,80.47234
2007-11-01,7.7274976,7.20335,24.062836,11.357823,72.44733
2007-12-01,60.211834,38.519936,83.22408,55.91543,134.63922
2008-01-01,41.594772,40.33407,178.01732,43.45688,108.16506
2008-02-01,36.074787,32.056118,65.02967,25.224676,59.785797
2008-03-01,20.69061,12.53166,17.620384,3.045005,68.03397
2008-04-01,14.550983,6.455994,10.992875,1.2596097,38.222633
2008-05-01,32.070984,30.106716,13.482197,13.984906,44.54116
2008-06-01,17.013657,9.702973,1.9140083,6.526659,40.41388
2008-07-01,19.619223,9.100684,4.391374,63.677155,14.403842
2008-08-01,30.784588,8.3488,4.314899,59.251152,38.11384
2008-09-01,23.155123,7.7655416,1.9128746,17.415813,19.913313
2008-10-01,19.026606,13.254124,18.056477,8.011219,40.173172
2008-11-01,22.744875,26.144434,60.64049,20.126005,97.58152
2008-12-01,42.261982,30.989746,78.229614,41.688915,106.91468
2009-01-01,24.498613,28.645252,33.61906,11.692147,92.181404
2009-02-01,16.16323,27.716831,115.71565,23.599003,46.159943
2009-03-01,22.11206,19.527067,55.033913,5.3913565,80.79473
2009-04-01,37.18168,32.05498,17.086802,8.405147,45.344677
2009-05-01,38.403275,19.157665,30.612274,15.311596,53.11005
2009-06-01,47.515522,54.716835,16.956438,12.712831,51.692524
2009-07-01,19.738184,10.863862,1.9112066,29.404583,22.85377
2009-08-01,16.401642,10.525802,3.928675,24.008566,28.179358
2009-09-01,21.381548,8.29405,3.4936035,21.195683,23.8792
2009-10-01,24.810402,21.550041,50.172142,6.091982,82.96622
2009-11-01,12.845584,6.621246,28.361298,4.797861,94.738235
2009-12-01,32.162888,31.253384,77.60141,27.02507,69.71598
2010-01-01,36.038418,35.91949,162.54259,84.18277,103.74727
2010-02-01,29.00455,25.197483,88.62299,35.77271,52.85859
2010-03-01,35.031868,24.342974,53.424423,23.917871,66.29503
2010-04-01,31.351849,37.603394,85.06527,10.134638,72.46458
2010-05-01,21.9285,32.359097,26.560434,1.9238969,72.635216
2010-06-01,23.657143,12.34961,8.954657,3.4482298,73.70964
2010-07-01,31.927158,11.699973,2.6488476,54.458076,13.321542
2010-08-01,43.525463,12.759917,3.5720701,46.86053,22.723406
2010-09-01,14.954392,5.2826676,5.478381,15.803229,54.314873
2010-10-01,45.305508,55.51675,69.55932,32.40424,70.681915
2010-11-01,20.19869,33.1602,67.427376,6.2177405,96.44262
2010-12-01,52.519287,76.581436,202.48264,46.895477,138.7337
2011-01-01,10.823348,12.135528,32.49537,3.2754998,104.07585
2011-02-01,25.137468,28.817493,74.97395,23.737259,71.61316
2011-03-01,23.949633,43.164307,155.71707,9.362642,118.84553
2011-04-01,42.02941,35.43111,32.018463,13.053318,75.55788
2011-05-01,48.869247,56.022873,30.022224,10.228701,80.593834
2011-06-01,17.24768,18.238016,22.930853,3.109304,47.322548
2011-07-01,41.523098,19.528992,6.5115895,47.437485,27.916105
2011-08-01,24.105894,12.189564,3.4515843,39.82757,14.014283
2011-09-01,27.291822,14.316817,7.9417005,40.29017,21.229008
2011-10-01,39.762806,29.256756,36.48244,22.545298,60.71821
2011-11-01,26.763853,17.470562,56.163563,23.343023,86.572876
2011-12-01,15.593529,12.231868,36.07346,34.38585,63.172146
2012-01-01,18.71872,33.482502,87.851746,10.513145,115.11437
2012-02-01,24.51188,22.277578,44.844883,16.358095,70.57963
2012-03-01,13.769119,28.706402,102.8191,19.393827,117.22458
2012-04-01,15.176383,21.143885,55.75239,9.874287,64.945335
2012-05-01,9.308045,10.394271,8.990921,2.4574764,42.789833
2012-06-01,6.0114813,4.997198,8.05166,3.0772152,67.24844
2012-07-01,38.16096,18.880754,7.303115,58.886948,29.83505
2012-08-01,23.311676,22.546528,6.0709796,48.543354,11.079442
2012-09-01,20.0805,14.099459,4.3867207,23.429401,12.59915
2012-10-01,17.644648,21.180637,26.516088,10.495043,88.41016
2012-11-01,15.735255,20.218435,87.43483,8.272976,109.21783
